Assignment ID,Type,Course Code,Course Name,Day,Slot,Time,Room,Instructor,Lab Instructor,Assigned To
A0079,lab,MTH111,Math 1,Thursday,4,14:15-15:45,B17 G.08,Eng. nesrien ahmed (Lab),Eng. nesrien ahmed,L1-G3-S1
A0080,lab,MTH111,Math 1,Thursday,4,14:15-15:45,B08 F1.10,BAS Department Staff (Lab),BAS Department Staff,L1-G3-S2
A0081,lab,MTH111,Math 1,Thursday,4,14:15-15:45,B18 F1.10,Eng. Math Specialist 1 (Lab),Eng. Math Specialist 1,L1-G3-S3
A0101,lab,CSC211,Software Engineering,Thursday,4,14:15-15:45,B07 F1.22,Eng. Nada Ahmed (Lab),Eng. Nada Ahmed,L2-G1-S2
A0116,lab,CSE214,Computer Organization,Thursday,4,14:15-15:45,B18 F1.14,Eng. Omnya Ramadan (Lab),Eng. Omnya Ramadan,L2-G3-S2
A0117,lab,CSE214,Computer Organization,Thursday,4,14:15-15:45,B18 G.16,Eng. Heba Abdelkader (Lab),Eng. Heba Abdelkader,L2-G3-S3
A0118,lab,LRA403,JA Language 3,Thursday,4,14:15-15:45,B18 F1.12,Prof. Yumi Sato (Lab),Prof. Yumi Sato,L2-G1-S1
A0052,lab,PHY113,Physics 1,Tuesday,1,9:00-10:30,CEO.PHYLAB,BAS Department Staff (Lab),BAS Department Staff,L1-G3-S1
A0060,lab,CSC111,Fundamentals of Programming,Tuesday,1,9:00-10:30,B17 G.20,Eng. Nour Akram (Lab),Eng. Nour Akram,L1-G2-S3
A0096,lab,CNC111,Network and Web Programming,Tuesday,1,9:00-10:30,B18 G.19,Eng. Alaa Essam (Lab),Eng. Alaa Essam,L2-G2-S3
A0100,lab,CSC211,Software Engineering,Tuesday,1,9:00-10:30,B07 F1.24,Eng. Menna Mahmoud (Lab),Eng. Menna Mahmoud,L2-G1-S1
A0126,lab,LRA403,JA Language 3,Tuesday,1,9:00-10:30,B26 G.06,Prof. Lina Morales (Lab),Prof. Lina Morales,L2-G3-S3
A0128,lab,MTH212,Probability and Statistics,Tuesday,1,9:00-10:30,B26 G.01,Eng. Math Specialist 2 (Lab),Eng. Math Specialist 2,L2-G1-S2
A0133,lab,MTH212,Probability and Statistics,Tuesday,1,9:00-10:30,B10 F1.10,Eng. Math Specialist 1 (Lab),Eng. Math Specialist 1,L2-G3-S1
A0134,lab,MTH212,Probability and Statistics,Tuesday,1,9:00-10:30,B26 G.12,Eng. Statistics Expert (Lab),Eng. Statistics Expert,L2-G3-S2
A0037,lab,ECE111,Digital Logic Design,Tuesday,2,10:45-12:15,B7.f1.04,ECE Department Staff (Lab),ECE Department Staff,L1-G1-S1
A0049,lab,PHY113,Physics 1,Tuesday,2,10:45-12:15,CEO.PHYLAB,Eng. Fatima Ali (Lab),Eng. Fatima Ali,L1-G2-S1
A0075,lab,MTH111,Math 1,Tuesday,2,10:45-12:15,B26 G.11,Eng. nesrien ahmed (Lab),Eng. nesrien ahmed,L1-G1-S3
A0098,lab,CNC111,Network and Web Programming,Tuesday,2,10:45-12:15,B07 F1.21,Eng. Yousef Said (Lab),Eng. Yousef Said,L2-G3-S2
A0106,lab,CSC211,Software Engineering,Tuesday,2,10:45-12:15,B08 F1.07,Eng. Nada Ahmed (Lab),Eng. Nada Ahmed,L2-G3-S1
A0130,lab,MTH212,Probability and Statistics,Tuesday,2,10:45-12:15,B09 F1.09,Eng. Math Specialist 1 (Lab),Eng. Math Specialist 1,L2-G2-S1
A0047,lab,PHY113,Physics 1,Tuesday,3,12:30-14:00,CEO.PHYLAB,Eng. Fatima Ali (Lab),Eng. Fatima Ali,L1-G1-S2
A0072,lab,LRA401,JA Language 1,Tuesday,3,12:30-14:00,B26 G.13,Prof. Language Assistant 2 (Lab),Prof. Language Assistant 2,L1-G3-S3
A0099,lab,CNC111,Network and Web Programming,Tuesday,3,12:30-14:00,B25 F1.11,Eng. Alaa Essam (Lab),Eng. Alaa Essam,L2-G3-S3
A0131,lab,MTH212,Probability and Statistics,Tuesday,3,12:30-14:00,B18 F1.02,Eng. Math Specialist 2 (Lab),Eng. Math Specialist 2,L2-G2-S2
A0044,lab,ECE111,Digital Logic Design,Tuesday,4,14:15-15:45,B7.f1.04,Eng. Omnya (Lab),Eng. Omnya,L1-G3-S2
A0046,lab,PHY113,Physics 1,Tuesday,4,14:15-15:45,CEO.PHYLAB,BAS Department Staff (Lab),BAS Department Staff,L1-G1-S1
A0059,lab,CSC111,Fundamentals of Programming,Tuesday,4,14:15-15:45,B18 G.04,Eng. Zeina Ahmed (Lab),Eng. Zeina Ahmed,L1-G2-S2
A0069,lab,LRA401,JA Language 1,Tuesday,4,14:15-15:45,B18 G.12,Prof. Yumi Sato (Lab),Prof. Yumi Sato,L1-G2-S3
A0070,lab,LRA401,JA Language 1,Tuesday,4,14:15-15:45,B18 F1.20,Prof. Lina Morales (Lab),Prof. Lina Morales,L1-G3-S1
A0108,lab,CSC211,Software Engineering,Tuesday,4,14:15-15:45,B08 F1.10,Eng. Nouran Moussa (Lab),Eng. Nouran Moussa,L2-G3-S3
A0122,lab,LRA403,JA Language 3,Tuesday,4,14:15-15:45,B07 F1.01,Prof. Language Assistant 2 (Lab),Prof. Language Assistant 2,L2-G2-S2
A0038,lab,ECE111,Digital Logic Design,Wednesday,1,9:00-10:30,B7.f1.04,Eng. Omnya (Lab),Eng. Omnya,L1-G1-S2
A0048,lab,PHY113,Physics 1,Wednesday,1,9:00-10:30,CEO.PHYLAB,BAS Department Staff (Lab),BAS Department Staff,L1-G1-S3
A0062,lab,CSC111,Fundamentals of Programming,Wednesday,1,9:00-10:30,B18 G.13,Eng. Mariam Ismael (Lab),Eng. Mariam Ismael,L1-G3-S2
A0091,lab,CNC111,Network and Web Programming,Wednesday,1,9:00-10:30,B07 F1.20,Eng. Alaa Essam (Lab),Eng. Alaa Essam,L2-G1-S1
A0105,lab,CSC211,Software Engineering,Wednesday,1,9:00-10:30,B18 G.18,Eng. Menna Mahmoud (Lab),Eng. Menna Mahmoud,L2-G2-S3
A0120,lab,LRA403,JA Language 3,Wednesday,1,9:00-10:30,B17 G.08,Prof. Lina Morales (Lab),Prof. Lina Morales,L2-G1-S3
A0121,lab,LRA403,JA Language 3,Wednesday,1,9:00-10:30,B26 G.18,Prof. Language Assistant 1 (Lab),Prof. Language Assistant 1,L2-G2-S1
A0045,lab,ECE111,Digital Logic Design,Wednesday,2,10:45-12:15,B7.f1.04,Eng. ECE (Lab),Eng. ECE,L1-G3-S3
A0058,lab,CSC111,Fundamentals of Programming,Wednesday,2,10:45-12:15,LAB.COMP.05,Eng. Maryam Essam (Lab),Eng. Maryam Essam,L1-G2-S1
A0085,lab,ACM215,ODE,Wednesday,2,10:45-12:15,LAB.COMP.04,Eng. Ali Sato (Lab),Eng. Ali Sato,L2-G2-S1
A0086,lab,ACM215,ODE,Wednesday,2,10:45-12:15,B25 G.17,Eng. Layla Zayd (Lab),Eng. Layla Zayd,L2-G2-S2
A0097,lab,CNC111,Network and Web Programming,Wednesday,2,10:45-12:15,B26 G.07,Eng. Alaa Essam (Lab),Eng. Alaa Essam,L2-G3-S1
A0109,lab,CSE214,Computer Organization,Wednesday,2,10:45-12:15,B26 G.10,Eng. Heba Abdelkader (Lab),Eng. Heba Abdelkader,L2-G1-S1
A0132,lab,MTH212,Probability and Statistics,Wednesday,2,10:45-12:15,B25 F1.14,Eng. Statistics Expert (Lab),Eng. Statistics Expert,L2-G2-S3
A0074,lab,MTH111,Math 1,Wednesday,3,12:30-14:00,B26 F1.12,Eng. nesrien ahmed (Lab),Eng. nesrien ahmed,L1-G1-S2
A0083,lab,ACM215,ODE,Wednesday,3,12:30-14:00,B18 F1.19,Eng. Layla Zayd (Lab),Eng. Layla Zayd,L2-G1-S2
A0090,lab,ACM215,ODE,Wednesday,3,12:30-14:00,B18 G.21,Eng. Yousef Said (Lab),Eng. Yousef Said,L2-G3-S3
A0094,lab,CNC111,Network and Web Programming,Wednesday,3,12:30-14:00,B17 G.20,Eng. Yousef Said (Lab),Eng. Yousef Said,L2-G2-S1
A0102,lab,CSC211,Software Engineering,Wednesday,3,12:30-14:00,B07 F1.23,Eng. Adam Mohamed (Lab),Eng. Adam Mohamed,L2-G1-S3
A0054,lab,PHY113,Physics 1,Wednesday,4,14:15-15:45,CEO.PHYLAB,Eng. ECE (Lab),Eng. ECE,L1-G3-S3
A0061,lab,CSC111,Fundamentals of Programming,Wednesday,4,14:15-15:45,B17 G.02,Eng. Nada Essam (Lab),Eng. Nada Essam,L1-G3-S1
A0076,lab,MTH111,Math 1,Wednesday,4,14:15-15:45,B10 F1.06,Eng. Math Specialist 1 (Lab),Eng. Math Specialist 1,L1-G2-S1
A0077,lab,MTH111,Math 1,Wednesday,4,14:15-15:45,B17 G.20,Eng. Omnya (Lab),Eng. Omnya,L1-G2-S2
A0092,lab,CNC111,Network and Web Programming,Wednesday,4,14:15-15:45,B26 G.04,Eng. Yousef Said (Lab),Eng. Yousef Said,L2-G1-S2
A0107,lab,CSC211,Software Engineering,Wednesday,4,14:15-15:45,B18 F1.19,Eng. Adam Mohamed (Lab),Eng. Adam Mohamed,L2-G3-S2
A0115,lab,CSE214,Computer Organization,Wednesday,4,14:15-15:45,B18 G.02,Eng. Heba Abdelkader (Lab),Eng. Heba Abdelkader,L2-G3-S1
A0123,lab,LRA403,JA Language 3,Wednesday,4,14:15-15:45,B18 F1.05,Prof. JA Culture Specialist (Lab),Prof. JA Culture Specialist,L2-G2-S3
A0135,lab,MTH212,Probability and Statistics,Wednesday,4,14:15-15:45,B26 F1.04,Eng. Math Specialist 2 (Lab),Eng. Math Specialist 2,L2-G3-S3
